x;y
20.3127;18.4787
20.3126;18.4785
20.3127;18.4786
20.3126;18.4785
20.3126;18.4785
20.3126;18.4785
20.3044;18.4785
20.3045;18.4785
20.3044;18.4785
20.3044;18.4785
20.3044;18.4897
20.3044;18.4897
20.3044;18.4897
20.2963;18.4897
20.2963;18.4897
20.2964;18.4897
20.2964;18.5008
20.2882;18.5008
20.2882;18.5009
20.2882;18.5009
20.2882;18.5009
20.2801;18.512
20.2801;18.512
20.2801;18.512
20.272;18.512
20.2719;18.5119
20.2719;18.5229
20.2638;18.5229
20.2638;18.5229
20.2638;18.5229
20.2556;18.5339
20.2556;18.5339
20.2556;18.5339
20.2475;18.545
20.2473;18.5449
20.2392;18.5449
20.2392;18.556
20.2392;18.556
20.231;18.556
20.231;18.5671
20.2228;18.5671
20.2228;18.5671
20.2228;18.5671
20.2147;18.5782
20.2146;18.5781
20.2065;18.5893
20.2063;18.5892
20.1982;18.5892
20.1981;18.6003
20.1898;18.6001
20.1898;18.6002
20.1815;18.6111
20.1815;18.6111
20.1733;18.6111
20.1732;18.6221
20.165;18.6221
20.1648;18.6331
20.1567;18.6331
20.1567;18.6331
20.1485;18.6442
20.1485;18.6442
20.1402;18.644
20.1402;18.6551
20.132;18.6551
20.132;18.6662
20.1237;18.666
20.1237;18.6659
20.1155;18.6771
20.1154;18.677
20.1071;18.688
20.1071;18.6879
20.0989;18.699
20.0988;18.6988
20.0907;18.6988
20.0824;18.7098
20.0822;18.7097
20.0739;18.7206
20.0657;18.7205
20.0656;18.7314
20.0573;18.7313
20.0491;18.7422
20.049;18.7421
20.0408;18.7531
20.0326;18.7529
20.0325;18.7639
20.0244;18.775
20.0161;18.7748
20.008;18.7859
19.9999;18.7969
20;18.7969
19.9919;18.808
19.984;18.8192
19.9758;18.8191
19.9678;18.8303
19.9596;18.8412
19.9515;18.8412
19.9432;18.8521
19.9351;18.8632
19.9267;18.8742
19.9186;18.8742
19.9104;18.8852
19.9023;18.8964
19.8941;18.9074
19.8858;18.9184
19.8777;18.9184
19.8694;18.9294
19.8613;18.9405
19.853;18.9515
19.8447;18.9625
19.8364;18.9623
19.8283;18.9734
19.82;18.9843
19.8118;18.9954
19.8036;19.0064
19.7954;19.0174
19.7872;19.0284
19.7708;19.0393
19.7625;19.0391
19.7543;19.0501
19.7459;19.0609
19.7375;19.0717
19.7292;19.0825
19.7208;19.0934
19.7042;19.1041
19.6958;19.115
19.6874;19.1259
19.6791;19.1368
19.6708;19.1477
19.6545;19.1587
19.6462;19.1696
19.638;19.1807
19.6298;19.1918
19.6135;19.2029
19.6051;19.2138
19.5968;19.2248
19.5885;19.2358
19.5721;19.2468
19.5639;19.2579
19.5556;19.2689
19.5393;19.2799
19.5311;19.291
19.5148;19.3021
19.5066;19.3132
19.4985;19.3244
19.4821;19.3465
19.4739;19.3576
19.4576;19.3687
19.4494;19.3797
19.4331;19.3908
19.4248;19.4018
19.4083;19.4238
19.4002;19.4349
19.3838;19.4458
19.3756;19.457
19.3591;19.4679
19.351;19.4901
19.3346;19.5011
19.3184;19.5122
19.3102;19.5232
19.294;19.5454
19.2859;19.5566
19.2698;19.5677
19.2535;19.5788
19.2372;19.6011
19.229;19.6121
19.2128;19.6232
19.1967;19.6455
19.1887;19.6568
19.1726;19.668
19.1565;19.6904
19.1484;19.7016
19.132;19.7127
19.1156;19.7348
19.0992;19.7457
19.0827;19.7566
19.0743;19.7785
19.0578;19.7893
19.0414;19.8002
19.025;19.8222
19.0087;19.8333
19.0004;19.8554
18.9843;19.8665
18.9681;19.8777
18.9517;19.8997
18.9353;19.9106
18.919;19.9217
18.911;19.9441
18.8949;19.9553
18.8786;19.9775
18.8624;19.9888
18.8463;20
18.8383;20.0224
18.822;20.0335
18.8057;20.0557
18.7894;20.0668
18.7732;20.078
18.7651;20.1002
18.7488;20.1111
18.7324;20.1332
18.7159;20.144
18.7075;20.1659
18.6909;20.1767
18.6745;20.1877
18.6579;20.2096
18.6415;20.2205
18.6331;20.2425
18.6165;20.2532
18.6;20.2752
18.5836;20.2862
18.5674;20.2974
18.5512;20.3196
18.5433;20.331
18.5272;20.3535
18.511;20.3647
18.4948;20.3869
18.4787;20.3981
18.4626;20.4204
18.4465;20.4316
18.4302;20.4538
18.4138;20.4646
18.3975;20.4868
18.3892;20.4977
18.3728;20.5198
18.3565;20.5309
18.3401;20.5531
18.3237;20.5641
18.3074;20.5863
18.2912;20.5972
18.2748;20.6193
18.2585;20.6303
18.2424;20.6526
18.2263;20.6639
18.2101;20.6862
18.1939;20.6974
18.1778;20.7197
18.1618;20.7421
18.1454;20.753
18.1292;20.7752
18.1132;20.7864
18.0972;20.8088
18.0809;20.8198
18.0646;20.8419
18.0481;20.8528
18.0314;20.8745
18.0148;20.8963
17.9983;20.9071
17.982;20.9293
17.9655;20.9402
17.9494;20.9625
17.9333;20.985
17.9173;20.9964
17.9011;21.0186
17.8849;21.0409
17.8688;21.052
17.8526;21.0743
17.8282;21.0853
17.8118;21.1073
17.7955;21.1295
17.779;21.1404
17.7627;21.1626
17.7463;21.1848
17.73;21.1959
17.7135;21.218
17.6971;21.2401
17.6726;21.2512
17.6562;21.2732
17.6398;21.2954
17.6234;21.3064
17.607;21.3285
17.5905;21.3506
17.5742;21.3616
17.5579;21.3838
17.5336;21.4061
17.5175;21.4284
17.5014;21.4396
17.4851;21.4618
17.469;21.4841
17.4528;21.4952
17.4283;21.5173
17.4118;21.5394
17.3955;21.5616
17.379;21.5726
17.3626;21.5947
17.3379;21.6168
17.3214;21.6389
17.3048;21.6497
17.2883;21.6718
17.2638;21.694
17.2474;21.7163
17.2311;21.7275
